numbers, valid, location
(635) 474-8673, false, n/a
(489) 690-3885, false, n/a
(213) 416-0509, true, Los Angeles, CA
(365) 941-4841, true, Ontario
(673) 417-8767, false, n/a
(571) 418-4208, true, Virginia
(859) 200-8501, true, Kentucky
(407) 809-1995, true, Florida
(588) 266-1298, true, 
(490) 456-6588, false, n/a
(676) 988-9210, false, n/a
(862) 559-1985, true, New Jersey
(351) 318-2421, true, Massachusetts
(441) 712-1593, true, Bermuda
(925) 294-5726, true, Livermore, CA
(237) 767-8148, false, n/a
(867) 741-1672, true, Northwest Territories/Nunavut/Yukon
(635) 764-4907, false, n/a
(978) 877-9459, true, Massachusetts
(558) 334-3713, false, n/a
(456) 264-4414, false, n/a
(677) 794-9197, false, n/a
(339) 880-1728, true, Massachusetts
(508) 535-6850, true, Massachusetts
(361) 984-1710, true, Texas
(337) 818-5394, true, Louisiana
(236) 294-6387, true, British Columbia
(486) 946-9416, false, n/a
(975) 361-3375, false, n/a
(870) 677-0276, true, Arkansas
(289) 534-9513, true, Ontario
(900) 293-2619, true, 
(605) 405-9849, true, South Dakota
(865) 765-0729, true, Tennessee
(632) 752-9648, false, n/a
(760) 277-8351, true, California
(481) 861-4017, false, n/a
(917) 557-6214, true, New York
(438) 813-8116, true, Quebec
(975) 455-7357, false, n/a
(512) 577-9599, true, Texas
(312) 826-6096, true, Chicago, IL
(348) 513-3442, false, n/a
(847) 349-7664, true, Illinois
(336) 942-5381, true, North Carolina
(786) 686-9876, true, Florida
(878) 511-2639, true, Pennsylvania
(281) 462-3697, true, Crosby, TX
(700) 538-4157, false, n/a
(865) 258-6684, true, Tennessee
(640) 641-5319, true, New Jersey
(774) 342-3610, true, Massachusetts
(641) 973-3307, true, Iowa
(241) 513-8314, false, n/a
(579) 541-2827, true, Quebec
(336) 909-4729, true, North Carolina
(653) 207-3670, false, n/a
(211) 440-1607, false, n/a
(404) 950-7067, true, Georgia
(893) 390-9234, false, n/a
(549) 360-5276, false, n/a
(769) 581-6584, true, Mississippi
(208) 913-0246, true, Idaho
(297) 819-9799, false, n/a
(245) 424-5725, false, n/a
(724) 358-6437, true, Pennsylvania
(455) 963-0484, false, n/a
(688) 998-4909, false, n/a
(319) 462-3939, true, Anamosa, IA
(526) 921-3983, false, n/a
(760) 289-4838, true, California
(631) 316-3837, true, New York
(866) 918-0583, true, 
(368) 580-7050, false, n/a
(885) 282-5893, false, n/a
(258) 655-5840, false, n/a
(432) 908-5045, true, Texas
(962) 967-4965, false, n/a
(677) 444-2216, false, n/a
(639) 586-5917, true, Saskatchewan
(829) 958-0516, true, Dominican Republic
(718) 278-6631, true, New York
(919) 570-4504, true, North Carolina
(966) 237-7108, false, n/a
(354) 272-8766, false, n/a
(547) 242-0117, false, n/a
(707) 899-8708, true, California
(629) 924-7609, true, Tennessee
(557) 680-0182, false, n/a
(355) 969-0289, false, n/a
(354) 887-8757, false, n/a
(582) 717-7598, false, n/a
(644) 283-4621, false, n/a
(260) 767-3006, true, Indiana
(681) 957-5006, true, West Virginia
(782) 312-8469, true, Nova Scotia/Prince Edward Island
(543) 647-7136, false, n/a
(357) 893-1479, false, n/a
(804) 352-0937, true, Virginia
(351) 413-6263, true, Massachusetts
(411) 359-0765, false, n/a
(767) 858-9407, false, n/a
(896) 903-6638, false, n/a
(978) 715-7106, true, Massachusetts
(290) 413-8581, false, n/a
(289) 639-4672, true, Ontario
